obs_key,status
RUN_START,RUN_START
PACE_OCI.20240318T204706.L2.OC_AOP.V3_1.nc||1,OBS_DONE
PACE_OCI.20240318T204706.L2.OC_AOP.V3_1.nc||2,OBS_DONE
PACE_OCI.20240401T204628.L2.OC_AOP.V3_1.nc||4,OBS_DONE
PACE_OCI.20240415T204517.L2.OC_AOP.V3_1.nc||6,OBS_DONE
PACE_OCI.20240422T195518.L2.OC_AOP.V3_1.nc||7,NO_VALID_PIXELS_5x5
PACE_OCI.20240422T212838.L2.OC_AOP.V3_1.nc||7,NO_VALID_PIXELS_5x5
PACE_OCI.20240422T213338.L2.OC_AOP.V3_1.nc||7,NO_VALID_PIXELS_5x5
PACE_OCI.20240429T203818.L2.OC_AOP.V3_1.nc||8,OBS_DONE
PACE_OCI.20240429T204318.L2.OC_AOP.V3_1.nc||8,NO_VALID_PIXELS_5x5
PACE_OCI.20240506T194750.L2.OC_AOP.V3_1.nc||9,NO_VALID_PIXELS_5x5
PACE_OCI.20240506T195250.L2.OC_AOP.V3_1.nc||9,OBS_DONE
PACE_OCI.20240506T212610.L2.OC_AOP.V3_1.nc||9,OBS_DONE
PACE_OCI.20240513T203532.L2.OC_AOP.V3_1.nc||10,NO_VALID_PIXELS_5x5
PACE_OCI.20240516T204152.L2.OC_AOP.V3_1.nc||11,NO_VALID_PIXELS_5x5
PACE_OCI.20240520T194443.L2.OC_AOP.V3_1.nc||12,NO_VALID_PIXELS_5x5
PACE_OCI.20240520T212303.L2.OC_AOP.V3_1.nc||12,OBS_DONE
PACE_OCI.20240603T194017.L2.OC_AOP.V3_1.nc||14,NO_VALID_PIXELS_5x5
PACE_OCI.20240603T211836.L2.OC_AOP.V3_1.nc||14,NO_VALID_PIXELS_5x5
PACE_OCI.20240610T202702.L2.OC_AOP.V3_1.nc||15,OBS_DONE
PACE_OCI.20240617T193515.L2.OC_AOP.V3_1.nc||16,NO_VALID_PIXELS_5x5
PACE_OCI.20240617T211334.L2.OC_AOP.V3_1.nc||16,OBS_DONE
PACE_OCI.20240624T202137.L2.OC_AOP.V3_1.nc||17,NO_VALID_PIXELS_5x5
PACE_OCI.20240701T210749.L2.OC_AOP.V3_1.nc||18,OBS_DONE
PACE_OCI.20240708T201528.L2.OC_AOP.V3_1.nc||19,NO_VALID_PIXELS_5x5
PACE_OCI.20240715T210117.L2.OC_AOP.V3_1.nc||20,NO_VALID_PIXELS_5x5
PACE_OCI.20240725T201404.L2.OC_AOP.V3_1.nc||21,NO_VALID_PIXELS_5x5
PACE_OCI.20240729T205400.L2.OC_AOP.V3_1.nc||22,NO_VALID_PIXELS_5x5
PACE_OCI.20240805T200057.L2.OC_AOP.V3_1.nc||23,NO_VALID_PIXELS_5x5
PACE_OCI.20240805T200557.L2.OC_AOP.V3_1.nc||23,NO_VALID_PIXELS_5x5
PACE_OCI.20240812T204559.L2.OC_AOP.V3_1.nc||24,OBS_DONE
PACE_OCI.20240812T205059.L2.OC_AOP.V3_1.nc||24,NO_VALID_PIXELS_5x5
PACE_OCI.20240819T195720.L2.OC_AOP.V3_1.nc||25,OBS_DONE
PACE_OCI.20240819T213538.L2.OC_AOP.V3_1.nc||25,OBS_DONE
PACE_OCI.20240827T193756.L2.OC_AOP.V3_1.nc||26,NO_VALID_PIXELS_5x5
PACE_OCI.20240827T211614.L2.OC_AOP.V3_1.nc||26,OBS_DONE
