obs_key,status
RUN_START,RUN_START
PACE_OCI.20240414T201018.L2.OC_AOP.V3_1.nc||5,OBS_DONE
PACE_OCI.20240422T195018.L2.OC_AOP.V3_1.nc||6,NO_VALID_PIXELS_5x5
PACE_OCI.20240422T195518.L2.OC_AOP.V3_1.nc||6,NO_VALID_PIXELS_5x5
PACE_OCI.20240422T212838.L2.OC_AOP.V3_1.nc||6,NO_VALID_PIXELS_5x5
PACE_OCI.20240429T203818.L2.OC_AOP.V3_1.nc||7,OBS_DONE
PACE_OCI.20240506T194750.L2.OC_AOP.V3_1.nc||8,OBS_DONE
PACE_OCI.20240506T212610.L2.OC_AOP.V3_1.nc||8,OBS_DONE
PACE_OCI.20240513T203532.L2.OC_AOP.V3_1.nc||9,NO_VALID_PIXELS_5x5
PACE_OCI.20240520T194443.L2.OC_AOP.V3_1.nc||10,NO_VALID_PIXELS_5x5
PACE_OCI.20240520T212303.L2.OC_AOP.V3_1.nc||10,NO_VALID_PIXELS_5x5
PACE_OCI.20240603T194017.L2.OC_AOP.V3_1.nc||12,NO_VALID_PIXELS_5x5
PACE_OCI.20240603T211836.L2.OC_AOP.V3_1.nc||12,NO_VALID_PIXELS_5x5
PACE_OCI.20240610T202702.L2.OC_AOP.V3_1.nc||13,OBS_DONE
PACE_OCI.20240617T193515.L2.OC_AOP.V3_1.nc||14,NO_VALID_PIXELS_5x5
PACE_OCI.20240617T211334.L2.OC_AOP.V3_1.nc||14,OBS_DONE
PACE_OCI.20240701T192930.L2.OC_AOP.V3_1.nc||16,NO_VALID_PIXELS_5x5
PACE_OCI.20240715T210117.L2.OC_AOP.V3_1.nc||18,OBS_DONE
PACE_OCI.20240729T205400.L2.OC_AOP.V3_1.nc||20,OBS_DONE
PACE_OCI.20241110T195643.L2.OC_AOP.V3_1.nc||35,NO_VALID_PIXELS_5x5
PACE_OCI.20241208T193631.L2.OC_AOP.V3_1.nc||40,NO_VALID_PIXELS_5x5
PACE_OCI.20241229T201133.L2.OC_AOP.V3_1.nc||42,NO_VALID_PIXELS_5x5
PACE_OCI.20241229T201633.L2.OC_AOP.V3_1.nc||42,NO_VALID_PIXELS_5x5
PACE_OCI.20250105T205806.L2.OC_AOP.V3_1.nc||43,OBS_DONE
PACE_OCI.20250112T200611.L2.OC_AOP.V3_1.nc||44,OBS_DONE
PACE_OCI.20250119T205229.L2.OC_AOP.V3_1.nc||45,OBS_DONE
PACE_OCI.20250126T200033.L2.OC_AOP.V3_1.nc||46,NO_VALID_PIXELS_5x5
PACE_OCI.20250202T204645.L2.OC_AOP.V3_1.nc||47,OBS_DONE
PACE_OCI.20250209T195824.L2.OC_AOP.V3_1.nc||48,OBS_DONE
PACE_OCI.20250223T200425.L2.OC_AOP.V3_1.nc||50,OBS_DONE
PACE_OCI.20250504T201609.L2.OC_AOP.V3_1.nc||60,OBS_DONE
PACE_OCI.20250928T193815.L2.OC_AOP.V3_1.nc||81,NO_VALID_PIXELS_5x5
PACE_OCI.20251102T202651.L2.OC_AOP.V3_1.nc||86,NO_VALID_PIXELS_5x5
PACE_OCI.20251109T193624.L2.OC_AOP.V3_1.nc||87,NO_VALID_PIXELS_5x5
PACE_OCI.20251116T202417.L2.OC_AOP.V3_1.nc||88,NO_VALID_PIXELS_5x5
PACE_OCI.20251208T200556.L2.OC_AOP.V3_1.nc||91,OBS_DONE
PACE_OCI.20251208T201056.L2.OC_AOP.V3_1.nc||91,NO_VALID_PIXELS_5x5
