obs_key,status
RUN_START,RUN_START
PACE_OCI.20240311T195804.L2.OC_AOP.V3_1.nc||0,NO_VALID_PIXELS_5x5
PACE_OCI.20240610T202702.L2.OC_AOP.V3_1.nc||13,NO_VALID_PIXELS_5x5
PACE_OCI.20240624T202137.L2.OC_AOP.V3_1.nc||15,NO_VALID_PIXELS_5x5
PACE_OCI.20240708T201528.L2.OC_AOP.V3_1.nc||17,NO_VALID_PIXELS_5x5
PACE_OCI.20240722T200836.L2.OC_AOP.V3_1.nc||19,NO_VALID_PIXELS_5x5
PACE_OCI.20240805T200057.L2.OC_AOP.V3_1.nc||21,NO_VALID_PIXELS_5x5
PACE_OCI.20240805T213915.L2.OC_AOP.V3_1.nc||21,NO_VALID_PIXELS_5x5
PACE_OCI.20240812T204559.L2.OC_AOP.V3_1.nc||22,NO_VALID_PIXELS_5x5
PACE_OCI.20240819T195720.L2.OC_AOP.V3_1.nc||23,OBS_DONE
PACE_OCI.20240826T204149.L2.OC_AOP.V3_1.nc||24,NO_VALID_PIXELS_5x5
PACE_OCI.20240902T194748.L2.OC_AOP.V3_1.nc||25,OBS_DONE
PACE_OCI.20240916T193710.L2.OC_AOP.V3_1.nc||27,OBS_DONE
PACE_OCI.20240924T205455.L2.OC_AOP.V3_1.nc||28,NO_VALID_PIXELS_5x5
PACE_OCI.20241007T200841.L2.OC_AOP.V3_1.nc||30,NO_VALID_PIXELS_5x5
PACE_OCI.20241007T201341.L2.OC_AOP.V3_1.nc||30,NO_VALID_PIXELS_5x5
PACE_OCI.20241021T200035.L2.OC_AOP.V3_1.nc||32,OBS_DONE
PACE_OCI.20241104T194742.L2.OC_AOP.V3_1.nc||34,OBS_DONE
PACE_OCI.20241118T193529.L2.OC_AOP.V3_1.nc||36,NO_VALID_PIXELS_5x5
PACE_OCI.20241118T211346.L2.OC_AOP.V3_1.nc||36,OBS_DONE
PACE_OCI.20241223T213759.L2.OC_AOP.V3_1.nc||41,NO_VALID_PIXELS_5x5
PACE_OCI.20250114T193713.L2.OC_AOP.V3_1.nc||43,OBS_DONE
PACE_OCI.20250114T194213.L2.OC_AOP.V3_1.nc||43,OBS_DONE
PACE_OCI.20250114T211532.L2.OC_AOP.V3_1.nc||43,OBS_DONE
PACE_OCI.20250121T202337.L2.OC_AOP.V3_1.nc||44,OBS_DONE
PACE_OCI.20250130T204059.L2.OC_AOP.V3_1.nc||45,OBS_DONE
PACE_OCI.20250205T205243.L2.OC_AOP.V3_1.nc||46,NO_VALID_PIXELS_5x5
PACE_OCI.20250211T193103.L2.OC_AOP.V3_1.nc||47,NO_VALID_PIXELS_5x5
PACE_OCI.20250217T194745.L2.OC_AOP.V3_1.nc||48,NO_VALID_PIXELS_5x5
PACE_OCI.20250217T212607.L2.OC_AOP.V3_1.nc||48,NO_VALID_PIXELS_5x5
PACE_OCI.20250304T202407.L2.OC_AOP.V3_1.nc||50,OBS_DONE
PACE_OCI.20250304T202907.L2.OC_AOP.V3_1.nc||50,OBS_DONE
PACE_OCI.20250317T195400.L2.OC_AOP.V3_1.nc||52,NO_VALID_PIXELS_5x5
PACE_OCI.20250317T213222.L2.OC_AOP.V3_1.nc||52,NO_VALID_PIXELS_5x5
PACE_OCI.20250415T203757.L2.OC_AOP.V3_1.nc||56,NO_VALID_PIXELS_5x5
PACE_OCI.20250429T203613.L2.OC_AOP.V3_1.nc||58,NO_VALID_PIXELS_5x5
PACE_OCI.20250513T203847.L2.OC_AOP.V3_1.nc||60,OBS_DONE
PACE_OCI.20250527T204128.L2.OC_AOP.V3_1.nc||62,OBS_DONE
PACE_OCI.20250603T213147.L2.OC_AOP.V3_1.nc||63,OBS_DONE
PACE_OCI.20250610T204336.L2.OC_AOP.V3_1.nc||64,NO_VALID_PIXELS_5x5
PACE_OCI.20250701T213454.L2.OC_AOP.V3_1.nc||67,NO_VALID_PIXELS_5x5
PACE_OCI.20250715T195722.L2.OC_AOP.V3_1.nc||69,OBS_DONE
PACE_OCI.20250715T213543.L2.OC_AOP.V3_1.nc||69,NO_VALID_PIXELS_5x5
PACE_OCI.20250729T195743.L2.OC_AOP.V3_1.nc||71,NO_VALID_PIXELS_5x5
PACE_OCI.20250729T213604.L2.OC_AOP.V3_1.nc||71,NO_VALID_PIXELS_5x5
