obs_key,status
RUN_START,RUN_START
PACE_OCI.20240319T194351.L2.OC_AOP.V3_1.nc||0,OBS_DONE
PACE_OCI.20240408T195646.L2.OC_AOP.V3_1.nc||3,OBS_DONE
PACE_OCI.20240422T195018.L2.OC_AOP.V3_1.nc||5,NO_VALID_PIXELS_5x5
PACE_OCI.20240506T194750.L2.OC_AOP.V3_1.nc||7,OBS_DONE
PACE_OCI.20240520T194443.L2.OC_AOP.V3_1.nc||8,NO_VALID_PIXELS_5x5
PACE_OCI.20240603T194017.L2.OC_AOP.V3_1.nc||10,NO_VALID_PIXELS_5x5
PACE_OCI.20240617T193515.L2.OC_AOP.V3_1.nc||12,NO_VALID_PIXELS_5x5
PACE_OCI.20240626T195242.L2.OC_AOP.V3_1.nc||13,OBS_DONE
PACE_OCI.20240708T201528.L2.OC_AOP.V3_1.nc||14,NO_VALID_PIXELS_5x5
PACE_OCI.20240715T192258.L2.OC_AOP.V3_1.nc||15,NO_VALID_PIXELS_5x5
PACE_OCI.20240730T195015.L2.OC_AOP.V3_1.nc||17,OBS_DONE
PACE_OCI.20240805T200057.L2.OC_AOP.V3_1.nc||18,OBS_DONE
PACE_OCI.20240820T202646.L2.OC_AOP.V3_1.nc||20,OBS_DONE
PACE_OCI.20240827T193756.L2.OC_AOP.V3_1.nc||21,OBS_DONE
PACE_OCI.20240903T202212.L2.OC_AOP.V3_1.nc||22,OBS_DONE
PACE_OCI.20240916T193710.L2.OC_AOP.V3_1.nc||24,NO_VALID_PIXELS_5x5
PACE_OCI.20241015T195214.L2.OC_AOP.V3_1.nc||26,NO_VALID_PIXELS_5x5
PACE_OCI.20241021T200035.L2.OC_AOP.V3_1.nc||27,OBS_DONE
PACE_OCI.20241105T202158.L2.OC_AOP.V3_1.nc||29,OBS_DONE
PACE_OCI.20241112T192646.L2.OC_AOP.V3_1.nc||30,OBS_DONE
PACE_OCI.20241112T210503.L2.OC_AOP.V3_1.nc||30,OBS_DONE
PACE_OCI.20241119T200942.L2.OC_AOP.V3_1.nc||31,NO_VALID_PIXELS_5x5
PACE_OCI.20241126T205239.L2.OC_AOP.V3_1.nc||32,NO_VALID_PIXELS_5x5
PACE_OCI.20241209T200542.L2.OC_AOP.V3_1.nc||33,OBS_DONE
