row_id,time,lat,lon,granule_id,status
0,2024-03-19 17:30:00+00:00,33.6061,-117.9311,"Collection: {'Version': '3.1', 'ShortName': 'PACE_OCI_L2_AOP'}
Spatial coverage: {'HorizontalSpatialDomain': {'Geometry': {'GPolygons': [{'Boundary': {'Points': [{'Latitude': 43.59769, 'Longitude': -93.38889}, {'Latitude': 37.83918, 'Longitude': -124.64835}, {'Latitude': 20.52785, 'Longitude': -117.3364}, {'Latitude': 25.75644, 'Longitude': -91.65299}, {'Latitude': 43.59769, 'Longitude': -93.38889}]}}]}}}
Temporal coverage: {'RangeDateTime': {'EndingDateTime': '2024-03-19T19:48:51Z', 'BeginningDateTime': '2024-03-19T19:43:51Z'}}
Size(MB): 48.74116897583008
Data: ['https://obdaac-tea.earthdatacloud.nasa.gov/ob-cumulus-prod-public/PACE_OCI.20240319T194351.L2.OC_AOP.V3_1.nc']",Swath Covers Station
0,2024-03-19 17:30:00+00:00,33.6061,-117.9311,,ROW_DONE
1,2024-03-26 17:30:00+00:00,33.6061,-117.9311,NONE,No Granules Found
1,2024-03-26 17:30:00+00:00,33.6061,-117.9311,,ROW_DONE
2,2024-04-01 17:30:00+00:00,33.6061,-117.9311,NONE,No Granules Found
2,2024-04-01 17:30:00+00:00,33.6061,-117.9311,,ROW_DONE
3,2024-04-08 17:30:00+00:00,33.6061,-117.9311,"Collection: {'Version': '3.1', 'ShortName': 'PACE_OCI_L2_AOP'}
Spatial coverage: {'HorizontalSpatialDomain': {'Geometry': {'GPolygons': [{'Boundary': {'Points': [{'Latitude': 51.56424, 'Longitude': -96.33016}, {'Latitude': 45.32861, 'Longitude': -132.11922}, {'Latitude': 28.3676, 'Longitude': -122.88293}, {'Latitude': 33.76893, 'Longitude': -95.29762}, {'Latitude': 51.56424, 'Longitude': -96.33016}]}}]}}}
Temporal coverage: {'RangeDateTime': {'EndingDateTime': '2024-04-08T20:01:45Z', 'BeginningDateTime': '2024-04-08T19:56:46Z'}}
Size(MB): 39.76459789276123
Data: ['https://obdaac-tea.earthdatacloud.nasa.gov/ob-cumulus-prod-public/PACE_OCI.20240408T195646.L2.OC_AOP.V3_1.nc']",Swath Covers Station
3,2024-04-08 17:30:00+00:00,33.6061,-117.9311,,ROW_DONE
4,2024-04-15 17:30:00+00:00,33.6061,-117.9311,NONE,No Granules Found
4,2024-04-15 17:30:00+00:00,33.6061,-117.9311,,ROW_DONE
5,2024-04-22 17:30:00+00:00,33.6061,-117.9311,"Collection: {'Version': '3.1', 'ShortName': 'PACE_OCI_L2_AOP'}
Spatial coverage: {'HorizontalSpatialDomain': {'Geometry': {'GPolygons': [{'Boundary': {'Points': [{'Latitude': 38.89548, 'Longitude': -95.07535}, {'Latitude': 33.33688, 'Longitude': -124.33125}, {'Latitude': 15.88807, 'Longitude': -117.87155}, {'Latitude': 21.04127, 'Longitude': -93.00178}, {'Latitude': 38.89548, 'Longitude': -95.07535}]}}]}}}
Temporal coverage: {'RangeDateTime': {'EndingDateTime': '2024-04-22T19:55:17Z', 'BeginningDateTime': '2024-04-22T19:50:18Z'}}
Size(MB): 124.49233436584473
Data: ['https://obdaac-tea.earthdatacloud.nasa.gov/ob-cumulus-prod-public/PACE_OCI.20240422T195018.L2.OC_AOP.V3_1.nc']",Swath Covers Station
5,2024-04-22 17:30:00+00:00,33.6061,-117.9311,,ROW_DONE
6,2024-04-29 17:30:00+00:00,33.6061,-117.9311,NONE,No Granules Found
6,2024-04-29 17:30:00+00:00,33.6061,-117.9311,,ROW_DONE
7,2024-05-06 18:00:00+00:00,33.6061,-117.9311,"Collection: {'Version': '3.1', 'ShortName': 'PACE_OCI_L2_AOP'}
Spatial coverage: {'HorizontalSpatialDomain': {'Geometry': {'GPolygons': [{'Boundary': {'Points': [{'Latitude': 43.03849, 'Longitude': -94.48848}, {'Latitude': 37.3149, 'Longitude': -125.42841}, {'Latitude': 19.97834, 'Longitude': -118.22984}, {'Latitude': 25.18852, 'Longitude': -92.69884}, {'Latitude': 43.03849, 'Longitude': -94.48848}]}}]}}}
Temporal coverage: {'RangeDateTime': {'EndingDateTime': '2024-05-06T19:52:50Z', 'BeginningDateTime': '2024-05-06T19:47:50Z'}}
Size(MB): 59.83066368103027
Data: ['https://obdaac-tea.earthdatacloud.nasa.gov/ob-cumulus-prod-public/PACE_OCI.20240506T194750.L2.OC_AOP.V3_1.nc']",Swath Covers Station
7,2024-05-06 18:00:00+00:00,33.6061,-117.9311,,ROW_DONE
8,2024-05-20 17:00:00+00:00,33.6061,-117.9311,"Collection: {'ShortName': 'PACE_OCI_L2_AOP', 'Version': '3.1'}
Spatial coverage: {'HorizontalSpatialDomain': {'Geometry': {'GPolygons': [{'Boundary': {'Points': [{'Latitude': 46.91491, 'Longitude': -93.64565}, {'Latitude': 40.99553, 'Longitude': -126.5036}, {'Latitude': 23.80365, 'Longitude': -118.4806}, {'Latitude': 29.08321, 'Longitude': -92.16035}, {'Latitude': 46.91491, 'Longitude': -93.64565}]}}]}}}
Temporal coverage: {'RangeDateTime': {'BeginningDateTime': '2024-05-20T19:44:43Z', 'EndingDateTime': '2024-05-20T19:49:43Z'}}
Size(MB): 28.82438564300537
Data: ['https://obdaac-tea.earthdatacloud.nasa.gov/ob-cumulus-prod-public/PACE_OCI.20240520T194443.L2.OC_AOP.V3_1.nc']",Swath Covers Station
8,2024-05-20 17:00:00+00:00,33.6061,-117.9311,,ROW_DONE
9,2024-05-28 17:00:00+00:00,33.6061,-117.9311,NONE,No Granules Found
