obs_key,status
RUN_START,RUN_START
PACE_OCI.20240311T195804.L2.OC_AOP.V3_1.nc||0,NO_VALID_PIXELS_5x5
PACE_OCI.20240318T204706.L2.OC_AOP.V3_1.nc||1,NO_VALID_PIXELS_5x5
PACE_OCI.20240401T204628.L2.OC_AOP.V3_1.nc||3,NO_VALID_PIXELS_5x5
PACE_OCI.20240408T195646.L2.OC_AOP.V3_1.nc||4,OBS_DONE
RUN_START,RUN_START
PACE_OCI.20240311T195804.L2.OC_AOP.V3_1.nc||0,NO_VALID_PIXELS_5x5
PACE_OCI.20240318T204706.L2.OC_AOP.V3_1.nc||1,NO_VALID_PIXELS_5x5
PACE_OCI.20240401T204628.L2.OC_AOP.V3_1.nc||3,OBS_DONE
PACE_OCI.20240415T204017.L2.OC_AOP.V3_1.nc||5,OBS_DONE
RUN_START,RUN_START
PACE_OCI.20240311T195804.L2.OC_AOP.V3_1.nc||0,NO_VALID_PIXELS_5x5
PACE_OCI.20240318T204706.L2.OC_AOP.V3_1.nc||1,NO_VALID_PIXELS_5x5
PACE_OCI.20240422T195018.L2.OC_AOP.V3_1.nc||6,NO_VALID_PIXELS_5x5
PACE_OCI.20240429T203818.L2.OC_AOP.V3_1.nc||7,OBS_DONE
RUN_START,RUN_START
PACE_OCI.20240311T195804.L2.OC_AOP.V3_1.nc||0,NO_VALID_PIXELS_5x5
PACE_OCI.20240318T204706.L2.OC_AOP.V3_1.nc||1,NO_VALID_PIXELS_5x5
PACE_OCI.20240422T195018.L2.OC_AOP.V3_1.nc||6,NO_VALID_PIXELS_5x5
PACE_OCI.20240506T194750.L2.OC_AOP.V3_1.nc||8,OBS_DONE
RUN_START,RUN_START
PACE_OCI.20240311T195804.L2.OC_AOP.V3_1.nc||0,NO_VALID_PIXELS_5x5
PACE_OCI.20240318T204706.L2.OC_AOP.V3_1.nc||1,NO_VALID_PIXELS_5x5
PACE_OCI.20240422T195018.L2.OC_AOP.V3_1.nc||6,NO_VALID_PIXELS_5x5
PACE_OCI.20240513T203532.L2.OC_AOP.V3_1.nc||9,NO_VALID_PIXELS_5x5
PACE_OCI.20240520T194443.L2.OC_AOP.V3_1.nc||10,NO_VALID_PIXELS_5x5
PACE_OCI.20240520T212303.L2.OC_AOP.V3_1.nc||10,NO_VALID_PIXELS_5x5
PACE_OCI.20240603T194017.L2.OC_AOP.V3_1.nc||12,OBS_DONE
PACE_OCI.20240603T211836.L2.OC_AOP.V3_1.nc||12,NO_VALID_PIXELS_5x5
PACE_OCI.20240610T202702.L2.OC_AOP.V3_1.nc||13,OBS_DONE
PACE_OCI.20240617T193515.L2.OC_AOP.V3_1.nc||14,NO_VALID_PIXELS_5x5
PACE_OCI.20240617T211334.L2.OC_AOP.V3_1.nc||14,NO_VALID_PIXELS_5x5
PACE_OCI.20240624T202137.L2.OC_AOP.V3_1.nc||15,OBS_DONE
PACE_OCI.20240701T192930.L2.OC_AOP.V3_1.nc||16,NO_VALID_PIXELS_5x5
PACE_OCI.20240701T210749.L2.OC_AOP.V3_1.nc||16,NO_VALID_PIXELS_5x5
PACE_OCI.20240708T201528.L2.OC_AOP.V3_1.nc||17,NO_VALID_PIXELS_5x5
PACE_OCI.20240715T192258.L2.OC_AOP.V3_1.nc||18,NO_VALID_PIXELS_5x5
PACE_OCI.20240715T210117.L2.OC_AOP.V3_1.nc||18,NO_VALID_PIXELS_5x5
PACE_OCI.20240722T200836.L2.OC_AOP.V3_1.nc||19,NO_VALID_PIXELS_5x5
PACE_OCI.20240729T205400.L2.OC_AOP.V3_1.nc||20,OBS_DONE
PACE_OCI.20240805T200057.L2.OC_AOP.V3_1.nc||21,NO_VALID_PIXELS_5x5
PACE_OCI.20240812T204559.L2.OC_AOP.V3_1.nc||22,NO_VALID_PIXELS_5x5
PACE_OCI.20240819T195220.L2.OC_AOP.V3_1.nc||23,OBS_DONE
PACE_OCI.20240826T204149.L2.OC_AOP.V3_1.nc||24,OBS_DONE
PACE_OCI.20240903T202212.L2.OC_AOP.V3_1.nc||25,NO_VALID_PIXELS_5x5
PACE_OCI.20240916T193710.L2.OC_AOP.V3_1.nc||27,OBS_DONE
PACE_OCI.20240916T211527.L2.OC_AOP.V3_1.nc||27,NO_VALID_PIXELS_5x5
PACE_OCI.20240923T202039.L2.OC_AOP.V3_1.nc||28,NO_VALID_PIXELS_5x5
PACE_OCI.20240930T192540.L2.OC_AOP.V3_1.nc||29,NO_VALID_PIXELS_5x5
RUN_START,RUN_START
PACE_OCI.20240311T195804.L2.OC_AOP.V3_1.nc||0,NO_VALID_PIXELS_5x5
PACE_OCI.20240318T204706.L2.OC_AOP.V3_1.nc||1,NO_VALID_PIXELS_5x5
PACE_OCI.20240422T195018.L2.OC_AOP.V3_1.nc||6,NO_VALID_PIXELS_5x5
PACE_OCI.20240513T203532.L2.OC_AOP.V3_1.nc||9,NO_VALID_PIXELS_5x5
PACE_OCI.20240520T194443.L2.OC_AOP.V3_1.nc||10,NO_VALID_PIXELS_5x5
PACE_OCI.20240520T212303.L2.OC_AOP.V3_1.nc||10,NO_VALID_PIXELS_5x5
PACE_OCI.20240603T211836.L2.OC_AOP.V3_1.nc||12,NO_VALID_PIXELS_5x5
PACE_OCI.20240617T193515.L2.OC_AOP.V3_1.nc||14,NO_VALID_PIXELS_5x5
PACE_OCI.20240617T211334.L2.OC_AOP.V3_1.nc||14,NO_VALID_PIXELS_5x5
PACE_OCI.20240701T192930.L2.OC_AOP.V3_1.nc||16,NO_VALID_PIXELS_5x5
PACE_OCI.20240701T210749.L2.OC_AOP.V3_1.nc||16,NO_VALID_PIXELS_5x5
PACE_OCI.20240708T201528.L2.OC_AOP.V3_1.nc||17,NO_VALID_PIXELS_5x5
PACE_OCI.20240715T192258.L2.OC_AOP.V3_1.nc||18,NO_VALID_PIXELS_5x5
