obs_key,status
RUN_START,RUN_START
PACE_OCI.20240421T205342.L2.OC_AOP.V3_1.nc||1,OBS_DONE
PACE_OCI.20240421T205842.L2.OC_AOP.V3_1.nc||1,OBS_DONE
PACE_OCI.20240521T201935.L2.OC_AOP.V3_1.nc||2,OBS_DONE
PACE_OCI.20240712T205543.L2.OC_AOP.V3_1.nc||3,NO_VALID_PIXELS_5x5
PACE_OCI.20240731T202448.L2.OC_AOP.V3_1.nc||4,NO_VALID_PIXELS_5x5
PACE_OCI.20240930T210357.L2.OC_AOP.V3_1.nc||6,OBS_DONE
PACE_OCI.20241030T201255.L2.OC_AOP.V3_1.nc||7,NO_VALID_PIXELS_5x5
PACE_OCI.20241217T195245.L2.OC_AOP.V3_1.nc||8,OBS_DONE
PACE_OCI.20241217T212605.L2.OC_AOP.V3_1.nc||8,NO_VALID_PIXELS_5x5
PACE_OCI.20241217T213105.L2.OC_AOP.V3_1.nc||8,OBS_DONE
PACE_OCI.20250130T204059.L2.OC_AOP.V3_1.nc||9,NO_VALID_PIXELS_5x5
PACE_OCI.20250318T202930.L2.OC_AOP.V3_1.nc||11,OBS_DONE
PACE_OCI.20250515T201104.L2.OC_AOP.V3_1.nc||12,NO_VALID_PIXELS_5x5
PACE_OCI.20250630T205942.L2.OC_AOP.V3_1.nc||13,OBS_DONE
PACE_OCI.20250731T193439.L2.OC_AOP.V3_1.nc||14,NO_VALID_PIXELS_5x5
PACE_OCI.20250731T210759.L2.OC_AOP.V3_1.nc||14,NO_VALID_PIXELS_5x5
PACE_OCI.20251027T201353.L2.OC_AOP.V3_1.nc||16,OBS_DONE
PACE_OCI.20251125T204332.L2.OC_AOP.V3_1.nc||17,NO_VALID_PIXELS_5x5
