row_id,time,lat,lon,granule_id,status
0,2024-03-28 21:06:00+00:00,38.11798,-122.867,NONE,No Granules Found
0,2024-03-28 21:06:00+00:00,38.11798,-122.867,,ROW_DONE
1,2024-04-24 19:16:00+00:00,38.11798,-122.867,"Collection: {'Version': '3.1', 'ShortName': 'PACE_OCI_L2_AOP'}
Spatial coverage: {'HorizontalSpatialDomain': {'Geometry': {'GPolygons': [{'Boundary': {'Points': [{'Latitude': 39.72632, 'Longitude': -112.62441}, {'Latitude': 34.14661, 'Longitude': -142.15201}, {'Latitude': 16.70956, 'Longitude': -135.5495}, {'Latitude': 21.87287, 'Longitude': -110.56524}, {'Latitude': 39.72632, 'Longitude': -112.62441}]}}]}}}
Temporal coverage: {'RangeDateTime': {'EndingDateTime': '2024-04-24T21:05:16Z', 'BeginningDateTime': '2024-04-24T21:00:17Z'}}
Size(MB): 190.75667572021484
Data: ['https://obdaac-tea.earthdatacloud.nasa.gov/ob-cumulus-prod-public/PACE_OCI.20240424T210017.L2.OC_AOP.V3_1.nc']",Swath Covers Station
1,2024-04-24 19:16:00+00:00,38.11798,-122.867,"Collection: {'ShortName': 'PACE_OCI_L2_AOP', 'Version': '3.1'}
Spatial coverage: {'HorizontalSpatialDomain': {'Geometry': {'GPolygons': [{'Boundary': {'Points': [{'Latitude': 57.48159, 'Longitude': -112.91502}, {'Latitude': 50.72064, 'Longitude': -153.416}, {'Latitude': 34.15681, 'Longitude': -142.15623}, {'Latitude': 39.73658, 'Longitude': -112.6255}, {'Latitude': 57.48159, 'Longitude': -112.91502}]}}]}}}
Temporal coverage: {'RangeDateTime': {'BeginningDateTime': '2024-04-24T21:05:17Z', 'EndingDateTime': '2024-04-24T21:10:16Z'}}
Size(MB): 71.55686092376709
Data: ['https://obdaac-tea.earthdatacloud.nasa.gov/ob-cumulus-prod-public/PACE_OCI.20240424T210517.L2.OC_AOP.V3_1.nc']",Swath Covers Station
1,2024-04-24 19:16:00+00:00,38.11798,-122.867,,ROW_DONE
2,2024-05-21 19:41:00+00:00,38.11798,-122.867,"Collection: {'Version': '3.1', 'ShortName': 'PACE_OCI_L2_AOP'}
Spatial coverage: {'HorizontalSpatialDomain': {'Geometry': {'GPolygons': [{'Boundary': {'Points': [{'Latitude': 47.21027, 'Longitude': -102.36806}, {'Latitude': 41.27618, 'Longitude': -135.37244}, {'Latitude': 19.874, 'Longitude': -125.19795}, {'Latitude': 24.74319, 'Longitude': -100.98106}, {'Latitude': 47.21027, 'Longitude': -102.36806}]}}]}}}
Temporal coverage: {'RangeDateTime': {'EndingDateTime': '2024-05-21T20:24:35Z', 'BeginningDateTime': '2024-05-21T20:19:35Z'}}
Size(MB): 69.60790729522705
Data: ['https://obdaac-tea.earthdatacloud.nasa.gov/ob-cumulus-prod-public/PACE_OCI.20240521T201935.L2.OC_AOP.V3_1.nc']",Swath Covers Station
2,2024-05-21 19:41:00+00:00,38.11798,-122.867,,ROW_DONE
3,2024-07-12 21:07:00+00:00,38.11798,-122.867,"Collection: {'ShortName': 'PACE_OCI_L2_AOP', 'Version': '3.1'}
Spatial coverage: {'HorizontalSpatialDomain': {'Geometry': {'GPolygons': [{'Boundary': {'Points': [{'Latitude': 47.38138, 'Longitude': -111.42497}, {'Latitude': 41.43645, 'Longitude': -144.53215}, {'Latitude': 19.13404, 'Longitude': -134.66566}, {'Latitude': 24.20999, 'Longitude': -109.27716}, {'Latitude': 47.38138, 'Longitude': -111.42497}]}}]}}}
Temporal coverage: {'RangeDateTime': {'EndingDateTime': '2024-07-12T21:00:43Z', 'BeginningDateTime': '2024-07-12T20:55:43Z'}}
Size(MB): 28.12165355682373
Data: ['https://obdaac-tea.earthdatacloud.nasa.gov/ob-cumulus-prod-public/PACE_OCI.20240712T205543.L2.OC_AOP.V3_1.nc']",Swath Covers Station
3,2024-07-12 21:07:00+00:00,38.11798,-122.867,,ROW_DONE
4,2024-07-31 19:50:00+00:00,38.11798,-122.867,"Collection: {'Version': '3.1', 'ShortName': 'PACE_OCI_L2_AOP'}
Spatial coverage: {'HorizontalSpatialDomain': {'Geometry': {'GPolygons': [{'Boundary': {'Points': [{'Latitude': 43.61749, 'Longitude': -104.54964}, {'Latitude': 37.59967, 'Longitude': -135.70473}, {'Latitude': 20.40633, 'Longitude': -128.45531}, {'Latitude': 25.65607, 'Longitude': -102.73952}, {'Latitude': 43.61749, 'Longitude': -104.54964}]}}]}}}
Temporal coverage: {'RangeDateTime': {'EndingDateTime': '2024-07-31T20:29:47Z', 'BeginningDateTime': '2024-07-31T20:24:48Z'}}
Size(MB): 109.81683540344238
Data: ['https://obdaac-tea.earthdatacloud.nasa.gov/ob-cumulus-prod-public/PACE_OCI.20240731T202448.L2.OC_AOP.V3_1.nc']",Swath Covers Station
4,2024-07-31 19:50:00+00:00,38.11798,-122.867,,ROW_DONE
