X,Y,OBJECTID,SAMPLE_DATE,TIME,TIMEZONE,DEPTH,LOCATION,LATITUDE,LONGITUDE,NAME,COUNT_,HAB_ID
551190.335299999,349263.2268,2361105,2024/01/03 00:00:00+00,10:20:00,EST,0.5,Southern Blackburn Bay,27.14028,-82.47166,Karenia brevis,0,HABW240104-049
551339.185199998,348270.1273,2361106,2024/01/03 00:00:00+00,10:04:00,EST,0.5,"Albee Road Bridge; N of (Blackburn Bay)",27.13132,-82.47028,Karenia brevis,0,HABW240104-050
551339.185199998,348270.1273,2361107,2024/01/03 00:00:00+00,10:09:00,EST,0.5,"Albee Road Bridge; N of (Blackburn Bay)",27.13132,-82.47028,Karenia brevis,0,HABW240104-051
551869.346999999,346853.1493,2361108,2024/01/03 00:00:00+00,13:31:00,EST,0.5,Lyons Bay,27.1185,-82.4651,Karenia brevis,0,HABW240104-052
553405.255899999,347471.9949,2361109,2024/01/03 00:00:00+00,12:42:00,EST,0.5,Dona Bay,27.1239,-82.4495,Karenia brevis,0,HABW240104-053
551895.492899999,346342.6802,2361110,2024/01/03 00:00:00+00,13:09:00,EST,0.5,"Turner Key; S of (Venice Inlet)",27.1139,-82.4649,Karenia brevis,0,HABW240104-054
553569.334199999,345441.9826,2361111,2024/01/03 00:00:00+00,12:16:00,EST,0.5,"Venice Marina Park; NW of (ICW)",27.1056,-82.4481,Karenia brevis,0,HABW240104-055
555319.3301,343243.2953,2361112,2024/01/03 00:00:00+00,11:49:00,EST,0.5,"Venice Municiple Airport; N of (ICW)",27.0856,-82.4307,Karenia brevis,0,HABW240104-056
555797.274799999,337747.3296,2361113,2024/01/03 00:00:00+00,11:21:00,EDT,0.5,"Alligator Creek; S of (ICW)",27.03605,-82.42658,Karenia brevis,0,HABW240104-057
556997.138799999,335696.2587,2361114,2024/01/03 00:00:00+00,11:02:00,EST,0.5,"Manasota Beach Bridge; NW of (ICW)",27.01744,-82.41473,Karenia brevis,0,HABW240104-058
558016.012600001,333882.8148,2361115,2024/01/03 00:00:00+00,10:46:00,EST,0.5,"Forked Creek; NW of (Lemon Bay)",27.00099,-82.40468,Karenia brevis,0,HABW240104-059
559514.2753,331799.2305,2361116,2024/01/03 00:00:00+00,10:26:00,EST,0.5,"Leachs Key; N of (Lemon Bay)",26.98205,-82.38983,Karenia brevis,0,HABW240104-060
561758.561999999,328942.883,2361117,2024/01/03 00:00:00+00,10:06:00,EST,0.5,"Indian Mound Park; W of (Lemon Bay)",26.95606,-82.36756,Karenia brevis,0,HABW240104-061
561758.561999999,328942.883,2361118,2024/01/03 00:00:00+00,10:11:00,EST,0.5,"Indian Mound Park; W of (Lemon Bay)",26.95606,-82.36756,Karenia brevis,0,HABW240104-062
190434.372499999,717119.6295,2361119,2024/01/04 00:00:00+00,10:16:00,CST,0.3,"Motes Point; S of (Choctawhatchee Bay)",30.444917,-86.184194,Karenia brevis,0,HABW240105-001
182841.873100001,720003.6893,2361120,2024/01/04 00:00:00+00,10:40:00,CST,0.3,"Alaque Point; 1.7 mi W of (Choctawhatchee Bay)",30.469667,-86.263861,Karenia brevis,0,HABW240105-002
161316.761399999,715747.1892,2361121,2024/01/04 00:00:00+00,11:16:00,CST,0.3,"Piney Point; 1.2 mi N of  (Choctawhatchee Bay)",30.427583,-86.487306,Karenia brevis,0,HABW240105-003
178039.809799999,715489.4749,2361122,2024/01/04 00:00:00+00,11:48:00,CST,0.3,"Fourmile Point; N of (Choctawhatchee Bay)",30.428194,-86.313028,Karenia brevis,0,HABW240105-004
314535.505199999,636224.8442,2361123,2024/01/04 00:00:00+00,11:12:00,EST,0.1,"Millender Street; S of (St. George Sound)",29.7301,-84.88478,Karenia brevis,0,HABW240105-005
719718.404300001,526541.1276,2361124,2024/01/04 00:00:00+00,11:05:00,EST,0.5,Biolab Boat Ramp (Mosquito Lagoon),28.7068,-80.721,Karenia brevis,0,HABW240105-006
786400.315699998,195735.0879,2361125,2024/01/04 00:00:00+00,10:05:00,EST,0.5,"Crandon Park; E of",25.7111,-80.1436,Karenia brevis,0,HABW240105-007
782096.651900001,202616.5802,2361126,2024/01/04 00:00:00+00,10:30:00,EST,0.5,"Bayfront Park; E of (Biscayne Bay)",25.7743,-80.1844,Karenia brevis,0,HABW240105-008
788597.797800001,209369.0859,2361127,2024/01/04 00:00:00+00,11:00:00,EST,0.5,"53rd Street Park; NE of",25.8333,-80.1174,Karenia brevis,0,HABW240105-009
788185.4155,223732.8207,2361128,2024/01/04 00:00:00+00,11:20:00,EST,0.5,"Loggia Beach Park; SE of",25.9628,-80.117,Karenia brevis,0,HABW240105-010
274074.8794,644200.2719,2361129,2024/01/03 00:00:00+00,12:33:00,EST,0.5,"Patton Bayou; W of (St. Joseph Bay)",29.7987,-85.3045,Karenia brevis,0,HABW240105-011
272214.938000001,635504.5074,2361130,2024/01/03 00:00:00+00,11:00:00,EST,0.5,"Blacks Island; E of (St. Joseph Bay)",29.7202,-85.3228,Karenia brevis,0,HABW240105-012
268717.588599999,633743.8642,2361131,2024/01/03 00:00:00+00,10:38:00,EST,0.5,"Pig Island; 0.7 mi E of (St. Joseph Bay)",29.704,-85.3588,Karenia brevis,0,HABW240105-013
534639.188700002,418674.3748,2361132,2024/01/05 00:00:00+00,,EST,0.5,St. Petersburg Municipal Marina (Middle Tampa Bay),27.767063,-82.631168,Karenia brevis,0,HABW240105-014
266283.642900001,639855.3,2361133,2024/01/03 00:00:00+00,10:22:00,EST,0.5,"Eagle Harbor; SE of (St. Joseph Bay)",29.7588,-85.3847,Karenia brevis,0,HABW240105-015
264608.092500001,646224.9175,2361134,2024/01/03 00:00:00+00,10:00:00,EST,0.5,"Eagle Harbor; 2.7 mi N of (St. Joseph Bay)",29.816,-85.4028,Karenia brevis,0,HABW240105-016
653538.238200001,181740.9034,2361135,2024/01/02 00:00:00+00,10:00:00,EST,0.5,"Pavilion Key; 9.1 mi SW of",25.616,-81.472,Karenia brevis,0,HABW240105-017
664519.425099999,188961.853,2361136,2024/01/02 00:00:00+00,13:27:00,EST,0.5,"Pavilion Key; 1 mi SW of",25.679,-81.361,Karenia brevis,0,HABW240105-018
269888.267099999,642724.2538,2361137,2024/01/03 00:00:00+00,09:40:00,EST,0.5,Mid-St. Joseph Bay,29.785,-85.3477,Karenia brevis,0,HABW240105-019
564880.8292,324199.736,2361138,2024/01/02 00:00:00+00,15:46:00,EST,0.5,"Whidden Key; E of (Lemon Bay)",26.912967,-82.3367,Karenia brevis,0,HABW240105-020
563873.9463,326832.5069,2361139,2024/01/02 00:00:00+00,16:49:00,EST,0.5,"Lemon Bay Drive; canal E of (Godfrey Creek)",26.9368,-82.3465,Karenia brevis,0,HABW240105-021
540436.090500001,370379.8928,2361141,2024/01/05 00:00:00+00,10:35:00,EST,0.5,Bay Dock (Sarasota Bay),27.3316,-82.5779,Karenia brevis,0,HABW240105-024
540287.1928,370616.9314,2361142,2024/01/05 00:00:00+00,10:40:00,EST,0.5,New Pass Dock (Sarasota Bay),27.33375,-82.57938,Karenia brevis,0,HABW240105-025
665168.2696,78955.3073000005,2361143,2024/01/05 00:00:00+00,,EST,0.5,"Camas Lane; W of (Pine Channel)",24.687131,-81.377862,Karenia brevis,0,HABW240108-001
665259.0079,79017.1070999997,2361144,2024/01/05 00:00:00+00,,EST,0.5,"Camas Lane; canal N of",24.687671,-81.376952,Karenia brevis,0,HABW240108-002
453485.056200001,620816.6469,2361147,2024/01/03 00:00:00+00,,EST,0.5,"Bird Island; 2.2 mi W of",29.593,-83.447,Karenia brevis,0,HABW240108-005
445749.786400001,620229.3214,2361148,2024/01/03 00:00:00+00,,EST,0.5,"Steinhatchee River; 8.6 mi SW of",29.588,-83.527,Karenia brevis,0,HABW240108-006
