temp (degree_c),chl1 (mg/m3),chl2 (mg/m3),avg_chloro (mg/m3),sample_id,site_code,site_name,lat,lon,time_utc,akashiwo_sanguinea (cells/l),alexandrium_spp (cells/l),dinophysis_spp (cells/l),lingulodinium_polyedra (cells/l),prorocentrum_spp (cells/l),pseudo_nitzschia_delicatissima_group (cells/l),pseudo_nitzschia_seriata_group (cells/l),ceratium_spp (cells/l),cochlodinium_spp (cells/l),gymnodinium_spp (cells/l),other_diatoms (cells/l),other_dinoflagellates (cells/l),total_phytoplankton (cells/l)
,,,,BML Buoy,BBB,Bodega Marine Lab Buoy,38.3126,-123.0825,2024-03-18 19:50:00+00:00,0.0,0.0,0.0,0.0,0.0,93.0,868.0,0.0,0.0,0.0,39133.0,155.0,40248.0
,,,,BML Buoy,BBB,Bodega Marine Lab Buoy,38.3126,-123.0825,2024-05-16 18:30:00+00:00,0.0,0.0,0.0,0.0,0.0,124.0,101.0,0.0,0.0,0.0,13966.0,77.0,14268.0
,,,,BML Buoy,BBB,Bodega Marine Lab Buoy,38.3126,-123.0825,2024-08-28 21:19:00+00:00,0.0,29.0,22.0,0.0,18.0,5200.0,0.0,36.0,0.0,0.0,1749.0,130.0,7183.0
,,,,BML Buoy,BBB,Bodega Marine Lab Buoy,38.3126,-123.0825,2024-09-30 16:11:00+00:00,0.0,0.0,4.0,46.0,81.0,0.0,0.0,11301.0,0.0,4.0,23.0,39.0,11518.0
,,,,BML Buoy,BBB,Bodega Marine Lab Buoy,38.3126,-123.0825,2025-01-17 18:37:00+00:00,0.0,0.0,13.0,0.0,1949.0,0.0,0.0,15167.0,0.0,0.0,2603.0,51.0,19783.0
,,,,BML Buoy,BBB,Bodega Marine Lab Buoy,38.3126,-123.0825,2025-02-21 19:08:00+00:00,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,87.0,14.0,142.0
,,,,BML Buoy,BBB,Bodega Marine Lab Buoy,38.3126,-123.0825,2025-03-19 18:15:00+00:00,0.0,0.0,0.0,0.0,0.0,200.0,26.0,0.0,0.0,0.0,2610.0,17.0,2859.0
14.7,,,,BML Buoy,BBB,Bodega Marine Lab Buoy,38.3126,-123.0825,2025-07-25 18:17:00+00:00,12.0,0.0,25.0,0.0,62.0,0.0,0.0,175.0,0.0,0.0,8277.0,162.0,8713.0
,,,,BML Buoy,BBB,Bodega Marine Lab Buoy,38.3126,-123.0825,2025-09-29 17:35:00+00:00,6.0,0.0,4.0,0.0,26.0,4.0,0.0,95.0,0.0,0.0,25.0,34.0,193.0
,,,,BML Buoy,BBB,Bodega Marine Lab Buoy,38.3126,-123.0825,2025-10-29 18:12:00+00:00,0.0,352.0,54.0,0.0,1217.0,0.0,0.0,1605.0,0.0,108.0,20.0,14.0,3369.0
